race_id	horse_id	jockey_id	trainer_id	rank	wakuban	umaban	sex	age	weight	weight_diff	tansyo_odds	popularity	impost	agari
202301010101	2021100648	1095	1128	5	1	1	1	2	434	0	23.9	5	55.0	34.5
202301010101	2021100159	1157	1186	6	2	2	0	2	454	6	61.8	7	55.0	35.1
202301010101	2021100265	1197	1192	7	3	3	1	2	404	2	18.8	4	53.0	35.3
202301010101	2021105553	5339	1160	4	4	4	1	2	450	2	16.6	3	55.0	34.9
202301010101	2021101429	1170	1026	1	5	5	0	2	452	4	1.2	1	55.0	34.3
202301010101	2021106854	1093	1091	3	6	6	0	2	438	6	59.9	6	55.0	34.5
202301010101	2021103762	1205	1023	8	7	7	1	2	394	2	251.3	8	52.0	36.6
202301010101	2021105872	1115	1008	2	8	8	1	2	454	2	4.1	2	55.0	34.5
202301010102	2020105380	1178	1182	7	1	1	0	3	454	2	243.5	12	56.0	36.5
202301010102	2020107102	1197	1189	11	2	2	0	3	442	8	59.5	10	54.0	36.7
202301010102	2020100391	1205	1074	3	3	3	0	3	446	4	99.0	11	53.0	35.5
202301010102	2020104346	1157	1138	4	4	4	0	3	474	0	8.6	4	56.0	36.1
202301010102	2020100551	1140	1043	6	5	5	1	3	460	2	5.2	3	54.0	35.8
202301010102	2020104250	1109	1195	8	5	6	1	3	412	2	17.0	6	54.0	36.3
202301010102	2020102908	1093	1181	5	6	7	1	3	430	4	31.8	9	54.0	35.9
202301010102	2020100879	1170	1118	2	6	8	1	3	420	6	15.1	5	54.0	36.5
202301010102	2020106547	5339	1130	1	7	9	1	3	496	2	2.4	1	54.0	35.6
202301010102	2020104087	1193	1180	9	7	10	1	3	450	4	3.5	2	51.0	35.8
202301010102	2020106395	1185	1066	10	8	11	0	3	476	2	22.0	7	55.0	36.3
202301010102	2020101946	1191	1174	12	8	12	1	3	450	4	31.7	8	53.0	36.7
202301010103	2020106970	1109	437	12	1	1	1	3	446	6	179.8	13	54.0	41.4
202301010103	2020101849	1192	1067	14	2	2	0	3	490	4	81.9	10	55.0	42.6
202301010103	2020105632	1032	1139	4	3	3	0	3	468	2	6.2	4	56.0	38.9
202301010103	2020103939	1091	1127	2	3	4	0	3	496	2	3.4	1	56.0	39.3
202301010103	2020101681	1157	1165	9	4	5	0	3	502	8	15.1	7	56.0	39.2
202301010103	2020100036	1193	1056	13	4	6	1	3	468	6	92.5	11	51.0	40.9
202301010103	2020105061	1173	1005	7	5	7	0	3	430	7	214.9	14	56.0	39.3
202301010103	2020102875	1178	1156	10	5	8	1	3	474	2	67.5	9	54.0	40.8
202301010103	2020102347	1140	1125	3	6	9	0	3	472	0	4.8	2	56.0	39.4
202301010103	2020100863	1197	1143	6	6	10	1	3	430	8	7.4	5	52.0	39.2
202301010103	2020104215	1176	1107	1	7	11	2	3	462	4	8.4	6	56.0	38.4
202301010103	2020103126	1102	1075	5	7	12	0	3	536	4	5.7	3	56.0	40.0
202301010103	2020101252	1170	1026	8	8	13	0	3	452	2	20.1	8	56.0	40.0
202301010103	2020105472	1190	1135	11	8	14	0	3	446	8	175.3	12	52.0	40.3
202301010104	2020103018	5339	1160	2	1	1	1	3	456	4	4.1	2	54.0	34.8
202301010104	2020105059	1192	1068	7	2	2	1	3	434	6	112.5	11	53.0	35.8
202301010104	2020104015	1185	1159	8	3	3	1	3	404	0	197.1	12	53.0	35.2
202301010104	2020103346	1115	1071	5	4	4	1	3	442	6	9.9	6	54.0	35.1
202301010104	2020106487	1197	1077	13	4	5	1	3	442	2	82.8	10	52.0	37.0
202301010104	2020102563	660	1164	4	5	6	1	3	418	0	8.3	5	54.0	35.0
202301010104	2020105587	1177	1028	9	5	7	1	3	454	4	326.0	13	52.0	35.1
202301010104	2020104556	1190	1075	12	6	8	1	3	462	4	5.2	3	50.0	36.7
202301010104	2020105354	1176	1078	1	6	9	1	3	426	8	19.7	8	54.0	34.3
202301010104	2020105792	1091	1048	6	7	10	1	3	448	4	6.2	4	54.0	35.6
202301010104	2020103104	1025	1190	10	7	11	1	3	462	0	20.2	9	54.0	35.8
202301010104	2020106011	1193	1158	11	8	12	1	3	456	4	19.0	7	51.0	35.6
202301010104	2020105782	1170	412	3	8	13	1	3	444	4	3.8	1	54.0	35.3
202301010105	2021102825	1192	1047	9	1	1	1	2	466	0	33.5	8	54.0	41.1
202301010105	2021107255	1015	1018	7	2	2	0	2	452	0	49.9	9	55.0	40.3
202301010105	2021102150	1178	1178	6	3	3	0	2	456	0	17.1	6	55.0	39.7
202301010105	2021106689	1157	1138	1	4	4	0	2	524	0	4.6	3	55.0	38.7
202301010105	2021101661	666	1140	4	5	5	0	2	496	0	13.8	5	55.0	39.6
202301010105	2021103385	660	1190	5	6	6	0	2	506	0	21.1	7	55.0	39.9
202301010105	2021104889	1170	1112	3	7	7	0	2	504	0	6.2	4	55.0	40.0
202301010105	2021102855	1115	1133	8	7	8	0	2	488	0	3.9	2	55.0	41.5
202301010105	2021101598	1186	1136	10	8	9	0	2	466	0	75.3	10	54.0	43.1
202301010105	2021103728	5339	1023	2	8	10	0	2	482	0	3.1	1	55.0	39.4
202301010106	2020101146	1186	1176	5	1	1	1	3	448	4	11.5	5	53.0	35.4
202301010106	2020100175	1140	1165	6	2	2	1	3	442	2	32.2	7	54.0	36.3
202301010106	2020105073	1170	1168	1	3	3	1	3	478	4	2.2	1	54.0	36.2
202301010106	2020106674	660	1044	12	3	4	0	3	484	0	37.6	8	56.0	35.2
202301010106	2020103829	1202	1124	14	4	5	0	3	410	8	531.0	14	53.0	36.8
202301010106	2020103660	1185	1149	2	4	6	1	3	412	2	30.2	6	53.0	36.0
202301010106	2020102579	1091	1017	3	5	7	0	3	478	2	5.5	3	56.0	35.7
202301010106	2020101296	666	1072	9	5	8	1	3	472	0	4.2	2	54.0	36.1
202301010106	2020101679	1146	431	11	6	9	1	3	440	6	185.9	13	54.0	36.7
202301010106	2020104281	1176	1058	4	6	10	1	3	422	0	80.2	10	54.0	35.1
202301010106	2020106584	1205	1080	7	7	11	1	3	432	0	120.4	11	51.0	35.9
202301010106	2020102577	1095	1109	13	7	12	1	3	488	6	127.3	12	54.0	36.9
202301010106	2020101653	1157	1159	10	8	13	0	3	438	6	6.6	4	56.0	36.4
202301010106	2020110071	1197	1129	8	8	14	1	3	446	2	69.5	9	52.0	36.8
202301010107	2020102321	1093	1062	7	1	1	0	3	494	2	44.2	10	55.0	34.8
202301010107	2020100441	1192	1178	16	1	2	1	3	428	6	63.4	13	52.0	35.6
202301010107	2019106194	1102	438	2	2	3	1	4	440	4	4.2	1	56.0	34.0
202301010107	2019102747	1197	1052	8	2	4	1	4	458	2	5.1	3	54.0	35.3
202301010107	2017103309	1091	1077	3	3	5	1	6	482	0	21.7	7	56.0	34.8
202301010107	2018103063	1178	1082	11	3	6	1	5	456	6	62.6	12	56.0	35.2
202301010107	2019102320	1015	1084	12	4	7	0	4	476	2	49.5	11	58.0	34.6
202301010107	2018105231	1170	1027	15	4	8	1	5	502	0	6.7	5	56.0	36.1
202301010107	2019101100	1190	1171	9	5	9	0	4	478	8	150.2	16	54.0	34.2
202301010107	2019102240	1168	1161	13	5	10	1	4	444	2	4.9	2	56.0	35.7
202301010107	2018105814	1166	1178	6	6	11	0	5	460	2	121.7	15	58.0	34.0
202301010107	2018100480	5339	1180	1	6	12	0	5	456	4	5.6	4	58.0	33.9
202301010107	2020106712	1157	1142	4	7	13	1	3	406	4	34.1	9	53.0	34.1
202301010107	2020102049	1185	1066	14	7	14	1	3	430	0	115.5	14	52.0	35.2
202301010107	2018105201	1176	1098	5	8	15	0	5	512	6	14.2	6	58.0	34.8
202301010107	2019104693	1202	1123	10	8	16	1	4	416	8	22.1	8	53.0	35.4
202301010108	2019101631	1192	1124	11	1	1	1	4	414	4	148.4	12	55.0	39.5
202301010108	2020104171	1186	1101	12	2	2	1	3	462	6	46.1	10	52.0	40.1
202301010108	2020103929	1190	1172	6	3	3	1	3	492	4	5.1	3	50.0	38.9
202301010108	2020104636	1095	1067	7	4	4	1	3	450	2	65.1	11	53.0	38.8
202301010108	2019104486	1091	1097	3	4	5	1	4	484	2	2.9	1	56.0	38.0
202301010108	2019104610	1170	1145	13	5	6	1	4	476	4	7.7	4	56.0	40.7
202301010108	2020103441	1102	1002	8	5	7	1	3	458	6	23.8	8	53.0	38.6
202301010108	2019105025	1193	1158	1	6	8	1	4	524	2	8.6	5	53.0	37.3
202301010108	2020105533	1205	1121	4	6	9	1	3	504	8	11.9	6	50.0	38.4
202301010108	2020102990	1197	1176	10	7	10	1	3	436	2	15.5	7	51.0	39.7
202301010108	2018104348	1202	1146	9	7	11	1	5	476	6	255.0	13	53.0	38.9
202301010108	2019106690	1177	1023	2	8	12	1	4	502	4	5.0	2	54.0	37.9
202301010108	2019105528	1157	1117	5	8	13	1	4	474	2	24.5	9	56.0	39.1
202301010109	2019103100	1157	1118	6	1	1	1	4	454	2	24.0	6	56.0	34.7
202301010109	2020103280	1102	1082	5	2	2	0	3	496	6	6.7	4	55.0	34.0
202301010109	2018106443	1173	1171	9	3	3	0	5	498	4	244.8	9	58.0	35.9
202301010109	2019103829	5339	1105	2	4	4	0	4	494	0	12.4	5	58.0	34.1
202301010109	2019105542	1178	438	4	5	5	0	4	472	6	27.8	7	58.0	34.0
202301010109	2020100681	1032	1183	8	6	6	0	3	460	2	6.0	3	55.0	35.0
202301010109	2020106131	666	1173	7	7	7	0	3	446	0	57.6	8	55.0	34.1
202301010109	2020101721	1140	1017	3	8	8	0	3	508	6	4.7	2	55.0	34.7
202301010109	2020110155	1170	1097	1	8	9	0	3	472	0	1.8	1	55.0	34.0
202301010110	2020106669	5203	1162	2	1	1	0	3	506	4	5.4	2	55.0	33.4
202301010110	2019104929	1095	1179	7	2	2	1	4	474	4	50.5	9	56.0	34.2
202301010110	2019100606	660	1092	5	3	3	0	4	442	6	11.5	4	58.0	33.3
202301010110	2019102937	1170	1090	8	4	4	0	4	472	6	14.6	5	58.0	34.6
202301010110	2020103803	5339	1175	4	5	5	0	3	510	0	1.5	1	55.0	34.0
202301010110	2019105628	1115	1160	1	6	6	1	4	476	8	9.4	3	56.0	34.5
202301010110	2018104512	1168	429	3	7	7	0	5	458	2	18.7	6	58.0	34.3
202301010110	2019104845	1140	1165	6	8	8	2	4	440	8	32.3	8	58.0	34.9
202301010110	2018105226	1091	1133	9	8	9	1	5	472	6	21.8	7	56.0	34.5
202301010111	2018105223	666	1105	8	1	1	1	5	456	6	14.1	6	56.0	33.5
202301010111	2018100756	1025	412	4	2	2	1	5	490	2	81.7	13	56.0	32.9
202301010111	2018110037	1091	1051	2	2	3	2	5	496	6	10.0	4	58.0	33.6
202301010111	2019105846	1186	1110	3	3	4	1	4	446	4	23.3	10	56.0	34.2
202301010111	2019105806	1185	1083	5	3	5	1	4	436	6	8.3	3	56.0	34.1
202301010111	2017104873	1030	425	10	4	6	0	6	508	4	146.4	15	58.0	34.1
202301010111	2018104949	5203	1186	11	4	7	0	5	482	4	109.6	14	58.0	32.9
202301010111	2018102491	1093	1099	13	5	8	1	5	454	4	20.1	9	56.0	35.2
202301010111	2020100443	1197	1119	9	5	9	1	3	486	2	15.0	7	53.0	34.2
202301010111	2019104525	1102	1002	7	6	10	1	4	422	4	19.5	8	56.0	33.2
202301010111	2019106184	1168	1161	6	6	11	1	4	460	0	7.2	2	56.0	34.5
202301010111	2018105004	1095	1106	14	7	12	1	5	496	4	23.4	11	56.0	35.1
202301010111	2019110031	5339	1130	1	7	13	0	4	524	8	2.3	1	58.0	33.4
202301010111	2019103010	1178	1086	12	8	14	1	4	468	4	35.4	12	56.0	34.0
202301010111	2019100659	1157	1164	15	8	15	0	4	506	0	12.4	5	58.0	34.2
202301010112	2018105564	1168	1129	14	1	1	2	5	496	2	44.1	9	58.0	42.1
202301010112	2020100498	1091	1157	6	2	2	0	3	502	2	7.2	5	55.0	40.3
202301010112	2017103278	1202	1194	13	3	3	1	6	446	4	110.8	12	53.0	41.0
202301010112	2019105142	5203	1189	11	3	4	2	4	492	0	175.5	13	58.0	39.5
202301010112	2020101850	1157	1066	8	4	5	0	3	444	6	6.1	3	55.0	39.9
202301010112	2019101413	1025	405	9	4	6	0	4	542	4	48.7	10	58.0	39.5
202301010112	2019106629	1109	428	10	5	7	0	4	550	2	303.4	14	58.0	38.9
202301010112	2020106661	1032	1146	12	5	8	0	3	460	0	15.4	8	55.0	40.4
202301010112	2018105996	1140	1135	7	6	9	0	5	486	8	3.6	1	58.0	39.9
202301010112	2020106873	1170	1088	2	6	10	0	3	464	2	6.9	4	55.0	39.2
202301010112	2019106284	1197	1070	4	7	11	0	4	468	0	8.5	6	56.0	38.4
202301010112	2019106923	1205	1008	5	7	12	0	4	512	2	65.9	11	55.0	38.0
202301010112	2019102163	666	1005	1	8	13	0	4	528	2	4.7	2	58.0	37.6
202301010112	2020106639	1193	1139	3	8	14	0	3	482	0	14.6	7	52.0	38.0
202301010201	2021105973	1102	438	3	1	1	1	2	436	4	6.0	2	55.0	36.3
202301010201	2021106347	1194	412	6	2	2	1	2	442	2	45.4	7	52.0	37.2
202301010201	2021104268	1197	1173	5	3	3	0	2	422	6	16.5	5	53.0	37.1
202301010201	2021103706	1177	1023	1	4	4	1	2	468	2	6.9	3	53.0	36.1
202301010201	2021100686	1185	1155	7	5	5	1	2	474	2	63.5	8	54.0	37.9
202301010201	2021103812	1190	1075	2	6	6	0	2	440	2	1.3	1	51.0	36.2
202301010201	2021106008	1093	1108	4	7	7	1	2	478	6	15.5	4	55.0	36.5
202301010201	2021102029	1091	1005	8	8	8	1	2	466	2	29.7	6	55.0	37.9
202301010202	2020101040	1146	431	12	1	1	1	3	422	0	112.7	12	54.0	41.4
202301010202	2020104660	1197	1123	6	2	2	1	3	464	2	48.8	9	52.0	39.7
202301010202	2020104933	1015	1042	13	3	3	1	3	456	2	448.3	14	54.0	42.2
202301010202	2020100381	1025	1094	8	3	4	1	3	452	2	89.0	11	54.0	39.8
202301010202	2020109006	1193	1159	7	4	5	1	3	456	5	157.0	13	51.0	39.4
202301010202	2020103789	1157	1153	14	4	6	1	3	424	2	9.6	4	54.0	44.5
202301010202	2020102607	5339	1163	1	5	7	1	3	464	0	1.6	1	54.0	38.2
202301010202	2020100683	1186	1071	2	5	8	1	3	456	4	4.7	2	53.0	38.6
202301010202	2020102251	1109	1043	4	6	9	1	3	426	2	17.6	5	54.0	38.3
202301010202	2020103936	1091	1088	5	6	10	1	3	508	2	38.2	7	54.0	40.3
202301010202	2020106298	1190	1075	9	7	11	1	3	420	8	47.2	8	50.0	40.5
202301010202	2020109091	1112	1128	9	7	12	1	3	448	4	28.1	6	54.0	40.1
202301010202	2020100167	1185	1186	11	8	13	1	3	416	2	67.2	10	53.0	41.7
202301010202	2020106310	1168	1033	3	8	14	1	3	426	2	8.1	3	54.0	38.9
202301010203	2020105731	1190	1073	14	1	1	0	3	486	2	79.3	11	52.0	34.8
202301010203	2020101580	1178	1189	16	1	2	1	3	380	0	459.0	15	54.0	35.5
202301010203	2020100726	1205	1167	4	2	3	1	3	462	2	9.1	3	51.0	34.9
202301010203	2020100269	1025	1100	5	2	4	1	3	456	4	26.0	5	54.0	34.5
202301010203	2020102877	1197	1153	9	3	5	1	3	438	6	28.7	7	52.0	34.8
202301010203	2020106170	1194	1107	12	3	6	1	3	404	6	296.6	14	51.0	34.6
202301010203	2020101034	5339	1160	6	4	7	0	3	430	2	1.8	1	56.0	34.2
202301010203	2020103681	1093	1062	8	4	8	1	3	442	0	32.6	10	54.0	34.4
202301010203	2020106289	1193	1128	15	5	9	0	3	474	6	23.9	4	53.0	35.4
202301010203	2020104351	1198	1143	2	5	10	1	3	428	2	529.2	16	51.0	34.1
202301010203	2020106649	1115	1002	7	6	11	0	3	424	2	29.1	8	56.0	34.9
202301010203	2020100239	1185	1091	11	6	12	0	3	438	2	221.4	13	55.0	34.6
202301010203	2020101863	689	1010	3	7	13	1	3	424	0	26.7	6	54.0	34.6
202301010203	2020106407	1170	1102	1	7	14	1	3	502	4	3.2	2	54.0	34.4
202301010203	2020104604	1177	1184	13	8	15	1	3	404	4	31.9	9	52.0	35.0
202301010203	2020103251	1157	1075	10	8	16	0	3	512	8	101.4	12	56.0	35.0
202301010204	2020110052	1102	1062	1	1	1	0	3	486	6	6.2	4	56.0	37.8
202301010204	2020103774	1157	1178	7	2	2	0	3	450	0	2.7	1	56.0	39.7
202301010204	2020103229	666	1110	4	3	3	0	3	494	4	15.7	6	56.0	38.4
202301010204	2020106690	1091	1112	6	3	4	0	3	540	6	39.9	11	56.0	38.6
202301010204	2020102810	1190	1123	11	4	5	0	3	472	4	159.3	13	52.0	41.3
202301010204	2020105303	1170	1127	14	4	6	0	3	518	2	30.6	9	56.0	44.9
202301010204	2020110149	1168	1085	10	5	7	1	3	484	2	10.7	5	54.0	40.9
202301010204	2020105738	1197	1106	13	5	8	0	3	450	2	35.9	10	54.0	41.1
202301010204	2020110093	5203	1075	12	6	9	1	3	482	6	44.7	12	54.0	42.5
202301010204	2020104012	1112	1041	3	6	10	0	3	428	2	20.3	7	56.0	38.5
202301010204	2020101742	1095	1118	8	7	11	0	3	500	8	5.9	3	56.0	41.1
202301010204	2020104727	1032	1172	2	7	12	0	3	492	2	26.4	8	56.0	38.7
202301010204	2020102793	1185	1068	5	8	13	2	3	482	2	5.0	2	55.0	39.0
202301010204	2020105417	1193	1124	9	8	14	0	3	420	0	180.8	14	53.0	41.0
202301010205	2021102419	1157	1092	2	1	1	0	2	452	0	18.4	5	55.0	35.5
202301010205	2021104496	1091	1156	3	2	2	0	2	444	0	8.9	4	55.0	35.3
202301010205	2021105825	5339	1157	4	3	3	0	2	464	0	2.1	1	55.0	35.3
202301010205	2021107376	1197	1005	6	4	4	0	2	488	0	68.2	6	53.0	37.2
202301010205	2021105743	1170	399	1	5	5	1	2	456	0	2.7	2	55.0	35.0
202301010205	2021104657	1015	1018	5	6	6	0	2	506	0	5.4	3	55.0	35.6
202301010206	2020103158	1168	1132	14	1	1	1	3	462	0	187.0	14	54.0	35.6
202301010206	2020104350	1198	1041	8	1	2	1	3	420	4	365.5	16	51.0	34.6
202301010206	2020105808	1091	1010	5	2	3	1	3	424	8	9.6	4	54.0	34.4
202301010206	2020102674	1095	1067	10	2	4	1	3	454	6	8.5	3	54.0	36.4
202301010206	2020102780	1197	1172	15	3	5	0	3	478	8	27.8	8	54.0	35.6
202301010206	2020103931	1178	1088	3	3	6	0	3	472	2	62.2	10	56.0	34.9
202301010206	2020105793	1177	1100	9	4	7	1	3	390	0	65.1	11	52.0	34.3
202301010206	2020100993	1193	1033	16	4	8	1	3	414	0	212.7	15	51.0	35.2
202301010206	2020103118	1190	1075	11	5	9	0	3	488	4	169.8	13	52.0	34.4
202301010206	2020103728	5339	1038	1	5	10	2	3	502	0	1.7	1	56.0	34.1
202301010206	2020102948	1032	1171	4	6	11	0	3	464	8	13.9	5	56.0	34.5
202301010206	2020101038	1093	1173	6	6	12	0	3	486	2	21.7	6	56.0	35.3
202301010206	2020102900	1185	1170	12	7	13	0	3	434	4	111.3	12	55.0	34.6
202301010206	2020106966	1109	437	2	7	14	1	3	428	2	23.5	7	54.0	33.8
202301010206	2020107119	1173	1174	13	8	15	1	3	446	0	31.3	9	54.0	36.0
202301010206	2020102975	1170	1118	7	8	16	1	3	436	6	5.6	2	54.0	34.7
202301010207	2019103846	1190	1062	12	1	1	1	4	484	2	5.5	2	52.0	37.4
202301010207	2019103318	1091	1108	4	2	2	2	4	520	6	6.1	3	58.0	35.5
202301010207	2019105379	5203	1152	3	3	3	1	4	474	6	7.5	5	56.0	34.8
202301010207	2019104930	1025	1008	10	4	4	1	4	478	0	8.1	6	56.0	34.8
202301010207	2019106884	1205	1085	6	5	5	0	4	496	4	4.1	1	55.0	35.8
202301010207	2019107032	1177	1043	9	5	6	1	4	456	6	16.6	8	54.0	36.3
202301010207	2019101684	1194	1018	11	6	7	1	4	460	4	51.8	11	53.0	36.9
202301010207	2019106103	1197	417	7	6	8	0	4	494	2	8.1	7	56.0	36.0
202301010207	2019102203	1173	1093	8	7	9	1	4	472	2	155.0	12	56.0	36.3
202301010207	2019109047	1193	1101	2	7	10	0	4	474	4	6.4	4	55.0	35.8
202301010207	2019101794	5243	1089	5	8	11	0	4	482	8	40.5	9	58.0	35.5
202301010207	2019101313	1178	1107	1	8	12	0	4	470	2	40.6	10	58.0	35.7
202301010208	2019105908	1093	1091	3	1	1	0	4	452	2	17.2	4	58.0	34.6
202301010208	2020103524	5339	1038	6	2	2	0	3	510	6	1.5	1	55.0	34.8
202301010208	2020105795	1091	1114	2	3	3	1	3	434	2	11.0	3	53.0	34.3
202301010208	2018101166	1205	1029	10	4	4	1	5	482	2	272.7	10	53.0	37.6
202301010208	2019103663	5203	1088	4	5	5	0	4	470	0	34.4	8	58.0	34.6
202301010208	2020100678	666	1066	5	6	6	0	3	444	4	3.5	2	55.0	34.9
202301010208	2018102186	1197	1093	7	6	7	1	5	412	2	33.4	7	54.0	34.6
202301010208	2018103486	689	1096	9	7	8	0	5	476	2	249.8	9	58.0	36.3
202301010208	2018103603	1178	1046	8	7	9	1	5	494	0	19.9	6	56.0	37.0
202301010208	2020103760	1194	1107	11	8	10	0	3	482	0	506.0	11	52.0	38.1
202301010208	2019107025	1115	1160	1	8	11	2	4	450	8	18.6	5	58.0	34.8
202301010209	2020100686	1185	1161	6	1	1	1	3	434	2	6.5	5	53.0	33.8
202301010209	2019100168	1032	1139	5	2	2	1	4	500	8	21.4	8	56.0	33.5
202301010209	2019102436	1170	1094	2	3	3	1	4	426	2	5.7	4	56.0	34.2
202301010209	2018101573	1197	429	9	4	4	1	5	404	4	46.7	9	56.0	34.6
202301010209	2019104549	1176	1159	8	5	5	1	4	498	8	12.7	6	56.0	34.1
202301010209	2019102137	1091	1194	3	6	6	1	4	514	8	5.2	3	56.0	34.4
202301010209	2018104559	1102	1136	4	7	8	1	5	472	6	4.3	2	56.0	34.4
202301010209	2020100105	1166	1130	1	8	9	1	3	474	0	3.5	1	53.0	33.9
202301010209	2019100772	1095	417	7	8	10	1	4	464	2	13.4	7	56.0	34.1
202301010210	2017106722	5243	1005	9	1	1	2	6	454	2	285.5	14	58.0	36.8
202301010210	2018101956	1186	1032	13	2	2	1	5	498	8	19.7	8	56.0	39.3
202301010210	2019100663	1095	1117	7	3	3	0	4	478	4	9.6	4	58.0	37.1
202301010210	2020106779	1205	1167	4	3	4	0	3	498	2	11.5	5	55.0	37.6
202301010210	2019102705	1168	1084	8	4	5	0	4	478	4	16.3	6	58.0	37.6
202301010210	2019104853	1170	1092	3	4	6	0	4	462	6	2.0	1	58.0	36.6
202301010210	2018103330	1109	1156	14	5	7	0	5	490	2	95.1	12	58.0	38.7
202301010210	2017103267	1176	1077	6	5	8	2	6	464	0	79.7	11	58.0	36.9
202301010210	2018103473	1177	1091	2	6	9	0	5	430	0	59.8	10	58.0	36.7
202301010210	2018100976	1015	1047	11	6	10	0	5	508	4	95.3	13	58.0	37.9
202301010210	2019103401	1185	1083	12	7	11	1	4	456	0	5.2	2	56.0	38.8
202301010210	2019103055	666	1166	1	7	12	0	4	428	4	32.7	9	58.0	36.7
202301010210	2019100835	1091	1086	5	8	13	0	4	536	2	8.1	3	58.0	37.8
202301010210	2016100201	5203	1050	10	8	14	0	7	476	0	18.9	7	58.0	37.9
202301010211	2018105366	1030	1055	3	1	1	0	5	486	2	33.2	11	57.0	33.3
202301010211	2019102788	666	1160	8	1	2	1	4	486	2	13.0	5	55.5	33.2
202301010211	2016100298	1197	1171	9	2	3	1	7	476	8	20.7	8	53.0	34.1
202301010211	2018110035	1032	1102	1	2	4	2	5	494	4	5.5	2	55.0	33.3
202301010211	2015104699	5339	1126	4	3	5	0	8	494	0	16.7	7	55.0	33.7
202301010211	2018103515	1170	1195	2	3	6	0	5	496	0	3.0	1	56.0	33.7
202301010211	2018110045	1191	1058	14	4	7	0	5	508	2	33.7	12	55.0	33.2
202301010211	2018104041	1109	1010	16	4	8	1	5	454	4	72.9	15	53.0	35.3
202301010211	2016102534	1015	1010	15	5	9	0	7	478	4	223.7	16	53.0	33.6
202301010211	2018102155	1091	1028	11	5	10	0	5	474	2	22.5	9	56.0	34.2
202301010211	2015105850	689	1010	12	6	11	0	8	480	0	38.1	13	55.0	33.1
202301010211	2017100240	5203	1050	5	6	12	1	6	456	0	5.9	3	54.0	33.4
202301010211	2017110123	5243	1145	7	7	13	0	6	484	4	45.3	14	56.0	33.3
202301010211	2019104841	1186	425	10	7	14	1	4	468	8	9.1	4	54.0	34.0
202301010211	2018102595	1157	1186	6	8	15	0	5	440	6	14.2	6	57.0	33.0
202301010211	2019103782	1095	1176	13	8	16	1	4	470	6	28.0	10	54.0	33.4
202301010212	2020100892	1197	1010	10	1	1	0	3	498	2	47.6	11	53.0	35.7
202301010212	2020102836	1095	1115	1	2	2	1	3	458	6	3.6	1	53.0	35.2
202301010212	2020102274	5286	5453	12	3	3	0	3	494	0	94.2	13	55.0	35.9
202301010212	2020103238	1157	1157	4	3	4	1	3	460	6	7.4	3	53.0	35.5
202301010212	2020103670	5203	1102	8	4	5	0	3	510	2	9.1	5	55.0	35.9
202301010212	2019102542	1030	1161	6	4	6	1	4	436	4	15.5	8	56.0	35.7
202301010212	2020105809	1170	1132	3	5	7	0	3	494	0	8.0	4	55.0	34.9
202301010212	2020103578	5339	1127	11	5	8	2	3	484	6	5.4	2	55.0	35.8
202301010212	2017106588	1032	1162	5	6	9	0	6	492	2	10.6	6	58.0	35.6
202301010212	2020103455	666	1126	13	6	10	1	3	438	2	16.0	9	53.0	37.0
202301010212	2019105088	1115	1002	14	7	11	0	4	472	2	17.4	10	58.0	37.3
202301010212	2019100195	1186	425	9	7	12	0	4	458	0	67.1	12	57.0	35.3
202301010212	2019100794	1205	1131	7	8	13	2	4	444	0	183.9	14	55.0	35.0
202301010212	2020102907	1091	1052	2	8	14	1	3	424	8	10.7	7	53.0	34.5
202301010301	2021103376	1168	1051	5	1	1	0	2	474	6	10.5	3	55.0	37.4
202301010301	2021106955	1205	1005	7	2	2	0	2	464	6	232.3	8	52.0	37.0
202301010301	2021110108	1170	1147	9	3	3	0	2	472	4	13.6	4	55.0	38.3
202301010301	2021105661	5339	1127	1	4	4	0	2	506	6	1.2	1	55.0	36.1
202301010301	2021105736	666	1105	4	5	5	0	2	422	2	6.3	2	55.0	37.1
202301010301	2021106812	1091	1010	2	6	6	1	2	476	4	24.2	5	55.0	36.1
202301010301	2021101595	1115	1008	3	7	7	0	2	462	0	24.7	7	55.0	36.7
202301010301	2021104799	1197	1187	6	8	8	0	2	492	4	24.5	6	53.0	36.8
202301010301	2021104704	1198	1141	8	8	9	1	2	464	4	350.0	9	52.0	37.6
202301010302	2020106893	1032	1103	11	1	1	1	3	428	2	46.3	10	54.0	41.0
202301010302	2020101981	1091	1116	5	2	2	1	3	432	2	27.6	9	54.0	39.2
202301010302	2020101572	1170	1038	10	3	3	1	3	446	2	2.2	1	54.0	41.5
202301010302	2020106794	1124	1138	4	3	4	1	3	450	6	4.5	2	54.0	38.5
202301010302	2020101287	1166	1130	9	4	5	1	3	484	0	12.6	6	54.0	40.0
202301010302	2020106947	1018	1111	12	4	6	1	3	436	8	8.8	3	54.0	42.0
202301010302	2020100646	1197	1166	2	5	7	1	3	408	2	19.9	8	52.0	39.0
202301010302	2020106461	1025	405	13	5	8	1	3	446	8	204.9	14	54.0	41.9
202301010302	2020104894	1015	1189	6	6	9	1	3	452	0	108.6	13	54.0	39.3
202301010302	2020106968	1109	1109	3	6	10	1	3	496	2	11.0	5	54.0	39.1
202301010302	2020101385	1157	1183	8	7	11	1	3	428	0	11.0	4	54.0	40.2
